after_task,task_1,task_2,task_3,task_4,task_5
1,85.35,,,,
2,85.45,0.0,,,
3,84.05,0.0,1.6,,
4,86.65,1.3,18.7,31.55,
5,83.45,13.95,35.55,63.75,14.95
