after_task,task_1,task_2,task_3,task_4,task_5
1,85.35,,,,
2,69.55,54.45,,,
3,47.8,0.7,58.0,,
4,34.9,0.2,1.65,88.75,
5,0.1,12.7,11.95,0.0,74.9
