after_task,task_1,task_2,task_3,task_4,task_5
1,92.95,,,,
2,0.0,72.15,,,
3,0.0,0.0,54.55,,
4,0.0,0.0,0.0,50.0,
5,0.0,0.0,0.0,0.0,87.95
