seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
123,0.5,1,1,0,0,8,0.0,0.0,0
123,0.5,1,1,1,0,18,0.0,0.0,0
123,0.5,1,1,2,0,82,0.0,0.0,0
123,0.5,1,1,3,0,49,0.0,0.0,0
123,0.5,1,1,4,0,1,0.0,0.0,0
123,0.5,1,2,0,0,8,0.0,0.0,0
123,0.5,1,2,1,0,18,0.0,0.0,0
123,0.5,1,2,2,0,82,0.0,0.0,0
123,0.5,1,2,3,0,49,0.0,0.0,0
123,0.5,1,2,4,0,1,0.0,0.0,0
123,0.5,1,3,0,0,8,0.0,0.0,0
123,0.5,1,3,1,0,18,0.0,0.0,0
123,0.5,1,3,2,0,82,0.0,0.0,0
123,0.5,1,3,3,0,49,0.0,0.0,0
123,0.5,1,3,4,0,1,0.0,0.0,0
123,0.5,2,1,0,8,8,100.0,-11.54388952255249,500
123,0.5,2,1,1,56,56,100.0,-5.477455083280802,500
123,0.5,2,1,2,1,1,100.0,-13.293638229370117,500
123,0.5,2,1,3,81,81,100.0,-4.501953295719477,500
123,0.5,2,1,4,12,12,100.0,-11.848206281661987,44
123,0.5,2,2,0,8,8,100.0,-43.47981023788452,500
123,0.5,2,2,1,56,56,100.0,-16.335365499768937,500
123,0.5,2,2,2,1,1,100.0,-26.372119903564453,500
123,0.5,2,2,3,81,81,100.0,-27.966424188496156,500
123,0.5,2,2,4,12,12,100.0,-30.535903135935467,44
123,0.5,2,3,0,8,8,100.0,-45.32551622390747,500
123,0.5,2,3,1,56,56,100.0,-50.54275321960449,500
123,0.5,2,3,2,1,1,100.0,-80.82167053222656,500
123,0.5,2,3,3,81,81,100.0,-38.15751436021593,500
123,0.5,2,3,4,12,12,100.0,-68.2788454691569,44
123,0.5,3,1,0,0,3,0.0,7.441556294759114,500
123,0.5,3,1,1,22,30,73.33333333333333,-0.28615887959798175,500
123,0.5,3,1,2,0,62,0.0,1.7041030963582378,500
123,0.5,3,1,3,1,13,7.6923076923076925,2.6817794946523814,500
123,0.5,3,1,4,22,50,44.0,0.322253891825676,500
123,0.5,3,2,0,3,3,100.0,-36.441951751708984,500
123,0.5,3,2,1,30,30,100.0,-14.193670749664307,500
123,0.5,3,2,2,62,62,100.0,-22.924841550088697,500
123,0.5,3,2,3,13,13,100.0,-29.362826714148888,500
123,0.5,3,2,4,50,50,100.0,-22.468182067871094,500
123,0.5,3,3,0,3,3,100.0,-52.68708038330078,500
123,0.5,3,3,1,30,30,100.0,-11.666528701782227,500
123,0.5,3,3,2,62,62,100.0,-45.81277105885167,500
123,0.5,3,3,3,13,13,100.0,-41.60303130516639,500
123,0.5,3,3,4,50,50,100.0,-29.859369697570802,500
123,0.5,4,1,0,0,43,0.0,3.7394382815028346,500
123,0.5,4,1,1,0,14,0.0,10.445429495402745,500
123,0.5,4,1,2,0,6,0.0,16.435606479644775,500
123,0.5,4,1,3,35,75,46.666666666666664,1.9572510939339798,500
123,0.5,4,1,4,0,20,0.0,7.509352910518646,500
123,0.5,4,2,0,43,43,100.0,-22.792122020277866,500
123,0.5,4,2,1,14,14,100.0,-42.1657725742885,500
123,0.5,4,2,2,6,6,100.0,-50.626871744791664,500
123,0.5,4,2,3,75,75,100.0,-32.36232089996338,500
123,0.5,4,2,4,20,20,100.0,-30.30633201599121,500
123,0.5,4,3,0,43,43,100.0,-13.881708233855491,500
123,0.5,4,3,1,14,14,100.0,-29.51307828085763,500
123,0.5,4,3,2,6,6,100.0,-39.03296502431234,500
123,0.5,4,3,3,75,75,100.0,-69.18805371602376,500
123,0.5,4,3,4,20,20,100.0,-13.723019027709961,500
123,0.5,5,1,0,0,3,0.0,64.42909367879231,500
123,0.5,5,1,1,31,71,43.66197183098591,5.850651571553358,500
123,0.5,5,1,2,11,59,18.64406779661017,7.410422370090323,500
123,0.5,5,1,3,0,3,0.0,59.103284200032554,500
123,0.5,5,1,4,0,23,0.0,16.989325502644416,500
123,0.5,5,2,0,1,3,33.333333333333336,10.536952336629232,500
123,0.5,5,2,1,69,71,97.1830985915493,-32.23194279469235,500
123,0.5,5,2,2,58,59,98.30508474576271,-37.67300392409503,500
123,0.5,5,2,3,2,3,66.66666666666667,-15.27088987827301,500
123,0.5,5,2,4,23,23,100.0,-41.62103636368461,500
123,0.5,5,3,0,3,3,100.0,-30.52614911397298,500
123,0.5,5,3,1,71,71,100.0,-33.34560791875275,500
123,0.5,5,3,2,59,59,100.0,-32.19584241964049,500
123,0.5,5,3,3,3,3,100.0,-37.690303802490234,500
123,0.5,5,3,4,23,23,100.0,-31.93889850118886,500
