after_task,task_1,task_2,task_3,task_4,task_5
1,86.2,,,,
2,79.75,0.0,,,
3,65.95,0.0,0.0,,
4,77.85,0.0,0.0,0.0,
5,47.4,0.0,0.0,0.0,29.9
