after_task,task_1,task_2,task_3,task_4,task_5
1,71.8,,,,
2,49.85,23.0,,,
3,10.45,0.0,59.25,,
4,0.7,0.0,0.0,72.25,
5,0.0,0.0,0.0,0.0,64.6
