seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
777,0.5,1,1,0,0,93,0.0,0.0,0
777,0.5,1,1,1,0,20,0.0,0.0,0
777,0.5,1,1,2,0,13,0.0,0.0,0
777,0.5,1,1,3,0,11,0.0,0.0,0
777,0.5,1,1,4,0,22,0.0,0.0,0
777,0.5,1,2,0,0,93,0.0,0.0,0
777,0.5,1,2,1,0,20,0.0,0.0,0
777,0.5,1,2,2,0,13,0.0,0.0,0
777,0.5,1,2,3,0,11,0.0,0.0,0
777,0.5,1,2,4,0,22,0.0,0.0,0
777,0.5,1,3,0,0,93,0.0,0.0,0
777,0.5,1,3,1,0,20,0.0,0.0,0
777,0.5,1,3,2,0,13,0.0,0.0,0
777,0.5,1,3,3,0,11,0.0,0.0,0
777,0.5,1,3,4,0,22,0.0,0.0,0
777,0.5,2,1,0,4,4,100.0,-11.960898876190186,500
777,0.5,2,1,1,65,66,98.48484848484848,-5.342490206162135,500
777,0.5,2,1,2,27,27,100.0,-10.615360260009766,500
777,0.5,2,1,3,61,61,100.0,-5.079289767585817,500
777,0.5,2,1,4,1,1,100.0,-12.815730094909668,500
777,0.5,2,2,0,4,4,100.0,-34.44596481323242,500
777,0.5,2,2,1,66,66,100.0,-40.139814492427945,500
777,0.5,2,2,2,27,27,100.0,-48.69352383083768,500
777,0.5,2,2,3,61,61,100.0,-47.14934646106157,500
777,0.5,2,2,4,1,1,100.0,-51.8958740234375,500
777,0.5,2,3,0,4,4,100.0,-48.96022605895996,500
777,0.5,2,3,1,66,66,100.0,-52.47056192340273,500
777,0.5,2,3,2,27,27,100.0,-59.924546277081525,500
777,0.5,2,3,3,61,61,100.0,-49.72493956518955,500
777,0.5,2,3,4,1,1,100.0,-60.68230438232422,500
777,0.5,3,1,0,0,11,0.0,20.223383903503418,500
777,0.5,3,1,1,0,23,0.0,12.436758839565774,500
777,0.5,3,1,2,37,108,34.25925925925926,2.9339571415136256,500
777,0.5,3,1,3,0,12,0.0,20.09273298581441,500
777,0.5,3,1,4,0,4,0.0,26.78491973876953,500
777,0.5,3,2,0,11,11,100.0,-41.4210766878995,500
777,0.5,3,2,1,23,23,100.0,-47.318753118100375,500
777,0.5,3,2,2,108,108,100.0,-45.266031123973704,500
777,0.5,3,2,3,12,12,100.0,-35.72207387288412,500
777,0.5,3,2,4,4,4,100.0,-39.905423164367676,500
777,0.5,3,3,0,11,11,100.0,-43.97651915116744,500
777,0.5,3,3,1,23,23,100.0,-45.616919310196586,500
777,0.5,3,3,2,108,108,100.0,-45.3689401767872,500
777,0.5,3,3,3,12,12,100.0,-40.84399700164795,500
777,0.5,3,3,4,4,4,100.0,-44.11827373504639,500
777,0.5,4,1,0,0,24,0.0,46.565913359324135,500
777,0.5,4,1,1,0,19,0.0,58.62691206681101,500
777,0.5,4,1,2,0,16,0.0,63.52544665336609,500
777,0.5,4,1,3,0,5,0.0,104.64405517578125,500
777,0.5,4,1,4,54,95,56.8421052631579,12.911745121918226,500
777,0.5,4,2,0,24,24,100.0,-44.331526597340904,500
777,0.5,4,2,1,19,19,100.0,-33.45162913673803,500
777,0.5,4,2,2,16,16,100.0,-46.14251494407654,500
777,0.5,4,2,3,5,5,100.0,-38.85769500732422,500
777,0.5,4,2,4,95,95,100.0,-42.44939101369757,500
777,0.5,4,3,0,24,24,100.0,-42.91579294204712,500
777,0.5,4,3,1,19,19,100.0,-36.22986843711451,500
777,0.5,4,3,2,16,16,100.0,-44.566898345947266,500
777,0.5,4,3,3,5,5,100.0,-42.0620719909668,500
777,0.5,4,3,4,95,95,100.0,-44.10583162809673,500
777,0.5,5,1,0,2,27,7.407407407407407,20.82132507253576,500
777,0.5,5,1,1,0,31,0.0,17.444942508974382,500
777,0.5,5,1,2,19,42,45.23809523809524,8.480481762261618,500
777,0.5,5,1,3,0,15,0.0,31.558951632181802,500
777,0.5,5,1,4,4,44,9.090909090909092,12.667286217212677,500
777,0.5,5,2,0,27,27,100.0,-45.91953757957176,500
777,0.5,5,2,1,31,31,100.0,-34.189000406572895,500
777,0.5,5,2,2,42,42,100.0,-35.36765380132766,500
777,0.5,5,2,3,15,15,100.0,-49.795379892985025,500
777,0.5,5,2,4,44,44,100.0,-34.04496947201815,500
777,0.5,5,3,0,27,27,100.0,-50.99809674863462,500
777,0.5,5,3,1,31,31,100.0,-38.95419939102665,500
777,0.5,5,3,2,42,42,100.0,-36.09924597967239,500
777,0.5,5,3,3,15,15,100.0,-52.26685536702474,500
777,0.5,5,3,4,44,44,100.0,-39.14093780517578,500
