after_task,task_1,task_2,task_3,task_4,task_5
1,75.55,,,,
2,17.4,49.85,,,
3,19.0,0.05,49.15,,
4,11.65,0.0,0.0,49.7,
5,0.0,0.0,0.0,0.0,68.55
