seed,final_average_accuracy,average_forgetting,accuracy_std,forgetting_std
42,13.52,59.287499999999994,,
123,13.709999999999999,56.0625,,
2026,12.919999999999998,56.575,,
777,12.64,67.14999999999999,,
1001,12.98,60.925000000000004,,
mean,13.154,60.0,0.44506179346243563,4.464311607067764
