after_task,task_1,task_2,task_3,task_4,task_5
1,92.95,,,,
2,90.3,0.4,,,
3,78.85,9.7,22.4,,
4,47.75,18.85,23.3,14.55,
5,0.15,0.15,1.7,0.0,87.65
