seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
42,0.5,1,1,0,0,27,0.0,0.0,0
42,0.5,1,1,1,0,13,0.0,0.0,0
42,0.5,1,1,2,0,3,0.0,0.0,0
42,0.5,1,1,3,0,36,0.0,0.0,0
42,0.5,1,1,4,0,79,0.0,0.0,0
42,0.5,1,2,0,0,27,0.0,0.0,0
42,0.5,1,2,1,0,13,0.0,0.0,0
42,0.5,1,2,2,0,3,0.0,0.0,0
42,0.5,1,2,3,0,36,0.0,0.0,0
42,0.5,1,2,4,0,79,0.0,0.0,0
42,0.5,1,3,0,0,27,0.0,0.0,0
42,0.5,1,3,1,0,13,0.0,0.0,0
42,0.5,1,3,2,0,3,0.0,0.0,0
42,0.5,1,3,3,0,36,0.0,0.0,0
42,0.5,1,3,4,0,79,0.0,0.0,0
42,0.5,2,1,0,2,7,28.571428571428573,-0.09262419904449157,500
42,0.5,2,1,1,30,66,45.45454545454545,-0.012579154237314608,500
42,0.5,2,1,2,2,9,22.22222222222222,-0.08069777292095953,173
42,0.5,2,1,3,18,39,46.15384615384615,-0.008776331893526591,500
42,0.5,2,1,4,16,38,42.10526315789474,-0.0017011436330473149,500
42,0.5,2,2,0,6,7,85.71428571428571,-9.267317431313652,500
42,0.5,2,2,1,40,66,60.60606060606061,-1.6591254138585292,500
42,0.5,2,2,2,8,9,88.88888888888889,0.4592881359987789,173
42,0.5,2,2,3,27,39,69.23076923076923,-2.612491556467154,500
42,0.5,2,2,4,26,38,68.42105263157895,-3.7189498182974363,500
42,0.5,2,3,0,7,7,100.0,-4.546311489173344,500
42,0.5,2,3,1,50,66,75.75757575757575,-0.7409951165318489,500
42,0.5,2,3,2,9,9,100.0,-2.3230757117271423,173
42,0.5,2,3,3,33,39,84.61538461538461,-0.8840920992004566,500
42,0.5,2,3,4,32,38,84.21052631578948,-1.1000372328256305,500
42,0.5,3,1,0,44,61,72.1311475409836,0.7422712816423583,500
42,0.5,3,1,1,20,26,76.92307692307692,1.839018643538181,500
42,0.5,3,1,2,30,31,96.7741935483871,1.5734599152755466,500
42,0.5,3,1,3,20,31,64.51612903225806,1.5423041498513832,500
42,0.5,3,1,4,8,10,80.0,4.780511326598935,500
42,0.5,3,2,0,45,61,73.77049180327869,-2.490337058168943,500
42,0.5,3,2,1,23,26,88.46153846153847,-5.845758208861718,500
42,0.5,3,2,2,30,31,96.7741935483871,-5.462212297224229,500
42,0.5,3,2,3,27,31,87.09677419354838,-9.12732978790037,500
42,0.5,3,2,4,9,10,90.0,-10.74421854019165,500
42,0.5,3,3,0,47,61,77.04918032786885,-3.220922468138523,500
42,0.5,3,3,1,23,26,88.46153846153847,-5.963356068501105,500
42,0.5,3,3,2,30,31,96.7741935483871,-3.7382941419078457,500
42,0.5,3,3,3,26,31,83.87096774193549,-5.755342253754216,500
42,0.5,3,3,4,10,10,100.0,-7.287566649913788,500
42,0.5,4,1,0,15,36,41.666666666666664,2.1329447593177773,500
42,0.5,4,1,1,14,46,30.434782608695652,1.5631851496822808,500
42,0.5,4,1,2,4,12,33.333333333333336,6.225706699246075,500
42,0.5,4,1,3,2,20,10.0,3.7192065830342473,500
42,0.5,4,1,4,17,44,38.63636363636363,1.6420143656432629,500
42,0.5,4,2,0,31,36,86.11111111111111,-7.4864564471774635,500
42,0.5,4,2,1,40,46,86.95652173913044,-5.857148425734562,500
42,0.5,4,2,2,11,12,91.66666666666667,-7.232835044463475,500
42,0.5,4,2,3,18,20,90.0,-8.567512813210488,500
42,0.5,4,2,4,35,44,79.54545454545455,-5.319921585646543,500
42,0.5,4,3,0,33,36,91.66666666666667,-5.959756506813897,500
42,0.5,4,3,1,39,46,84.78260869565217,-6.811323081021723,500
42,0.5,4,3,2,10,12,83.33333333333333,-5.042080383747816,500
42,0.5,4,3,3,19,20,95.0,-8.54163400530815,500
42,0.5,4,3,4,38,44,86.36363636363636,-7.07920930500735,500
42,0.5,5,1,0,19,39,48.717948717948715,8.213640676859098,500
42,0.5,5,1,1,5,15,33.333333333333336,22.0466372470061,500
42,0.5,5,1,2,0,9,0.0,38.53040650983652,500
42,0.5,5,1,3,3,16,18.75,21.200590696185827,500
42,0.5,5,1,4,25,81,30.864197530864196,4.121058475341142,500
42,0.5,5,2,0,30,39,76.92307692307692,-6.316158855477204,500
42,0.5,5,2,1,13,15,86.66666666666667,-8.719869351387024,500
42,0.5,5,2,2,9,9,100.0,-12.340377383761936,500
42,0.5,5,2,3,14,16,87.5,-6.979213908314705,500
42,0.5,5,2,4,60,81,74.07407407407408,-3.426226425502035,500
42,0.5,5,3,0,32,39,82.05128205128206,-1.815250956859344,500
42,0.5,5,3,1,13,15,86.66666666666667,-4.557736138502757,500
42,0.5,5,3,2,8,9,88.88888888888889,-7.084496061007182,500
42,0.5,5,3,3,15,16,93.75,-2.1745094899088144,500
42,0.5,5,3,4,57,81,70.37037037037037,-1.6777020744335505,500
