after_task,task_1,task_2,task_3,task_4,task_5
1,86.2,,,,
2,0.0,50.0,,,
3,0.0,0.0,50.0,,
4,0.0,0.0,0.0,62.8,
5,0.0,0.25,0.0,5.55,49.95
