after_task,task_1,task_2,task_3,task_4,task_5
1,87.5,,,,
2,88.15,0.25,,,
3,89.0,15.6,5.3,,
4,88.6,25.1,19.8,15.85,
5,84.1,39.15,27.7,56.95,3.4
