after_task,task_1,task_2,task_3,task_4,task_5
1,74.4,,,,
2,0.0,58.65,,,
3,7.05,0.0,61.4,,
4,20.75,0.0,0.0,49.25,
5,0.0,0.0,0.0,0.0,64.9
