after_task,task_1,task_2,task_3,task_4,task_5
1,92.95,,,,
2,92.55,0.0,,,
3,92.45,3.25,0.45,,
4,91.0,30.35,8.65,0.0,
5,85.55,36.5,30.3,23.2,25.55
