seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
42,0.5,1,1,0,0,27,0.0,0.0,0
42,0.5,1,1,1,0,13,0.0,0.0,0
42,0.5,1,1,2,0,3,0.0,0.0,0
42,0.5,1,1,3,0,36,0.0,0.0,0
42,0.5,1,1,4,0,79,0.0,0.0,0
42,0.5,1,2,0,0,27,0.0,0.0,0
42,0.5,1,2,1,0,13,0.0,0.0,0
42,0.5,1,2,2,0,3,0.0,0.0,0
42,0.5,1,2,3,0,36,0.0,0.0,0
42,0.5,1,2,4,0,79,0.0,0.0,0
42,0.5,1,3,0,0,27,0.0,0.0,0
42,0.5,1,3,1,0,13,0.0,0.0,0
42,0.5,1,3,2,0,3,0.0,0.0,0
42,0.5,1,3,3,0,36,0.0,0.0,0
42,0.5,1,3,4,0,79,0.0,0.0,0
42,0.5,2,1,0,7,7,100.0,-2.522194598402296,500
42,0.5,2,1,1,35,66,53.03030303030303,-0.24302249602183248,500
42,0.5,2,1,2,3,9,33.333333333333336,-1.7101168748405244,173
42,0.5,2,1,3,12,39,30.76923076923077,-0.3080523936674954,500
42,0.5,2,1,4,6,38,15.789473684210526,-0.22579543042535843,500
42,0.5,2,2,0,6,7,85.71428571428571,-15.472882952008929,500
42,0.5,2,2,1,65,66,98.48484848484848,-6.608781655629476,500
42,0.5,2,2,2,8,9,88.88888888888889,1.6911180284288194,173
42,0.5,2,2,3,38,39,97.43589743589743,-16.212324185249134,500
42,0.5,2,2,4,38,38,100.0,-19.045325078462298,500
42,0.5,2,3,0,6,7,85.71428571428571,-18.588770730154856,500
42,0.5,2,3,1,65,66,98.48484848484848,-7.870775201103904,500
42,0.5,2,3,2,8,9,88.88888888888889,0.15790345933702257,173
42,0.5,2,3,3,38,39,97.43589743589743,-15.042284769889635,500
42,0.5,2,3,4,38,38,100.0,-20.212580687121342,500
42,0.5,3,1,0,45,61,73.77049180327869,1.5165680301848983,500
42,0.5,3,1,1,21,26,80.76923076923077,4.06705383841808,500
42,0.5,3,1,2,28,31,90.3225806451613,2.9668129480654195,500
42,0.5,3,1,3,23,31,74.19354838709677,3.4292570650577545,500
42,0.5,3,1,4,6,10,60.0,10.571108530461789,500
42,0.5,3,2,0,58,61,95.08196721311475,-11.004201005716792,500
42,0.5,3,2,1,24,26,92.3076923076923,-14.013168646739079,500
42,0.5,3,2,2,31,31,100.0,-15.825691899945658,500
42,0.5,3,2,3,24,31,77.41935483870968,-18.56018316361212,500
42,0.5,3,2,4,9,10,90.0,-20.95329580307007,500
42,0.5,3,3,0,60,61,98.36065573770492,-11.651523128884737,500
42,0.5,3,3,1,26,26,100.0,-13.425853995176462,500
42,0.5,3,3,2,31,31,100.0,-9.093899234648674,500
42,0.5,3,3,3,29,31,93.54838709677419,-14.10243793456785,500
42,0.5,3,3,4,10,10,100.0,-14.861411571502686,500
42,0.5,4,1,0,32,36,88.88888888888889,5.864604438344638,500
42,0.5,4,1,1,31,46,67.3913043478261,4.2723473867644435,500
42,0.5,4,1,2,9,12,75.0,20.60755451520284,500
42,0.5,4,1,3,15,20,75.0,11.654687464237213,500
42,0.5,4,1,4,29,44,65.9090909090909,4.649165987968445,500
42,0.5,4,2,0,27,36,75.0,-7.438934495051702,500
42,0.5,4,2,1,38,46,82.6086956521739,-7.0832031654274985,500
42,0.5,4,2,2,12,12,100.0,-8.748895103732744,500
42,0.5,4,2,3,15,20,75.0,-6.0808627009391785,500
42,0.5,4,2,4,42,44,95.45454545454545,-6.391985920342532,500
42,0.5,4,3,0,35,36,97.22222222222223,-7.349149514403608,500
42,0.5,4,3,1,46,46,100.0,-7.727369660916536,500
42,0.5,4,3,2,12,12,100.0,-4.763239244620006,500
42,0.5,4,3,3,20,20,100.0,-8.124673581123352,500
42,0.5,4,3,4,44,44,100.0,-7.671103450385007,500
42,0.5,5,1,0,33,39,84.61538461538461,5.16783236234616,500
42,0.5,5,1,1,10,15,66.66666666666667,18.317592493693034,500
42,0.5,5,1,2,4,9,44.44444444444444,37.78695697254605,500
42,0.5,5,1,3,13,16,81.25,12.075691148638725,500
42,0.5,5,1,4,53,81,65.4320987654321,1.9632630219430098,500
42,0.5,5,2,0,39,39,100.0,-8.083210684550114,500
42,0.5,5,2,1,15,15,100.0,-7.739427820841471,500
42,0.5,5,2,2,9,9,100.0,-6.285138368606567,500
42,0.5,5,2,3,16,16,100.0,-6.9803556352853775,500
42,0.5,5,2,4,80,81,98.76543209876543,-6.074770830295704,500
42,0.5,5,3,0,37,39,94.87179487179488,-6.196104451631888,500
42,0.5,5,3,1,11,15,73.33333333333333,-6.347813908259074,500
42,0.5,5,3,2,8,9,88.88888888888889,-6.299074735906389,500
42,0.5,5,3,3,15,16,93.75,-2.2828120067715645,500
42,0.5,5,3,4,70,81,86.41975308641975,-7.003956620707924,500
