after_task,task_1,task_2,task_3,task_4,task_5
1,85.35,,,,
2,85.5,0.0,,,
3,79.95,0.0,30.4,,
4,17.95,1.4,8.95,84.15,
5,0.0,0.0,0.4,17.0,83.45
