seed,transition,client,conflict,before_accuracy,after_accuracy,forgetting
42,1->2,0,0.08700469136238098,95.57522123893806,92.8613569321534,2.7138643067846573
42,1->2,1,0.1818227767944336,76.0705289672544,0.0,76.0705289672544
42,1->2,2,0.09751895070075989,96.53179190751445,94.79768786127168,1.7341040462427628
42,1->2,3,0.10203355550765991,96.85452162516383,0.0,96.85452162516383
42,1->2,4,0.09672489762306213,77.99564270152506,0.0,77.99564270152506
42,2->3,0,0.09736976027488708,34.13461538461539,0.0,34.13461538461539
42,2->3,1,0.04291471838951111,19.238140872065166,5.126976521322472,14.111164350742694
42,2->3,2,0.10642147064208984,15.229357798165138,0.5504587155963303,14.678899082568808
42,2->3,3,0.04111924767494202,95.6661316211878,98.07383627608347,0.0
42,2->3,4,0.06928116083145142,92.87821323219553,94.98525073746313,0.0
42,3->4,0,0.02354326844215393,28.010335917312663,0.0,28.010335917312663
42,3->4,1,0.02635723352432251,44.947948560930804,0.0,44.947948560930804
42,3->4,2,0.029677391052246094,99.06735751295336,99.32642487046633,0.0
42,3->4,3,0.015446841716766357,64.06814661848219,0.0,64.06814661848219
42,3->4,4,0.056443631649017334,96.66666666666667,0.0,96.66666666666667
42,4->5,0,0.009618282318115234,79.30119416187527,31.092436974789916,48.208757187085354
42,4->5,1,0.04380783438682556,80.84225060407319,44.49430445288229,36.3479461511909
42,4->5,2,0.06616190075874329,79.42708333333333,98.4375,0.0
42,4->5,3,0.04997548460960388,78.4639746634996,49.6437054631829,28.8202692003167
42,4->5,4,0.02040731906890869,80.14941302027748,27.534685165421557,52.61472785485592
123,1->2,0,0.11535432934761047,90.21956087824351,91.61676646706587,0.0
123,1->2,1,0.1105000376701355,88.94830659536542,0.0,88.94830659536542
123,1->2,2,0.11529660224914551,93.49980937857416,93.44262295081967,0.05718642775448757
123,1->2,3,0.1079159677028656,92.35503725299644,0.0,92.35503725299644
123,1->2,4,0.11524388194084167,93.18181818181819,61.36363636363637,31.81818181818182
123,2->3,0,0.084493488073349,58.8235294117647,65.92292089249493,0.0
123,2->3,1,0.09882226586341858,87.90095666854249,0.0,87.90095666854249
123,2->3,2,0.17303156852722168,93.75,0.0,93.75
123,2->3,3,0.06175649166107178,66.9383003492433,1.3969732246798603,65.54132712456345
123,2->3,4,0.0975637137889862,83.05084745762711,0.0,83.05084745762711
123,3->4,0,0.0077056884765625,52.73972602739726,52.73972602739726,0.0
123,3->4,1,0.009541243314743042,3.3088235294117645,0.36764705882352944,2.941176470588235
123,3->4,2,0.020981013774871826,99.87316083206494,100.0,0.0
123,3->4,3,0.008995980024337769,36.004932182490755,0.0,36.004932182490755
123,3->4,4,0.007653921842575073,23.741007194244606,21.770409759149203,1.970597435095403
123,4->5,0,3.1888484954833984e-06,3.3674963396778916,3.3674963396778916,0.0
123,4->5,1,4.971027374267578e-05,11.494252873563218,11.494252873563218,0.0
123,4->5,2,4.297494888305664e-05,21.08262108262108,21.08262108262108,0.0
123,4->5,3,7.987022399902344e-06,98.78737194229564,98.78737194229564,0.0
123,4->5,4,1.2248754501342773e-05,0.7120253164556962,0.7120253164556962,0.0
2026,1->2,0,0.12624314427375793,90.45801526717557,0.0,90.45801526717557
2026,1->2,1,0.0345664918422699,91.2150194828197,0.3896563939071909,90.82536308891251
2026,1->2,2,0.057618170976638794,91.43598615916954,7.22318339100346,84.21280276816609
2026,1->2,3,0.08077773451805115,93.36609336609337,77.27272727272727,16.0933660933661
2026,1->2,4,0.0637580156326294,91.26418580100291,0.0,91.26418580100291
2026,2->3,0,0.053426891565322876,97.80417566594673,98.4161267098632,0.0
2026,2->3,1,0.0670199990272522,48.41367943963741,0.0,48.41367943963741
2026,2->3,2,0.08094295859336853,63.62999299229152,0.0,63.62999299229152
2026,2->3,3,0.10318505764007568,40.823970037453186,0.0,40.823970037453186
2026,2->3,4,0.04756101965904236,44.792002579812966,0.0,44.792002579812966
2026,3->4,0,0.012980788946151733,60.83916083916084,40.90909090909091,19.930069930069934
2026,3->4,1,0.05676567554473877,14.54468802698145,81.28161888701517,0.0
2026,3->4,2,0.03394857048988342,12.0525600362483,91.5722700498414,0.0
2026,3->4,3,0.04291921854019165,95.28512265052565,4.906021025804396,90.37910162472126
2026,3->4,4,0.02608543634414673,72.09418837675351,41.833667334669336,30.26052104208417
2026,4->5,0,0.0380760133266449,70.82494969818913,12.005365526492287,58.819584171696846
2026,4->5,1,0.037233054637908936,3.389830508474576,6.779661016949152,0.0
2026,4->5,2,0.029897868633270264,14.404121863799283,85.08064516129032,0.0
2026,4->5,3,0.04600715637207031,87.86502271252434,87.86502271252434,0.0
2026,4->5,4,0.06794524192810059,95.40229885057471,0.0,95.40229885057471
