after_task,task_1,task_2,task_3,task_4,task_5
1,50.0,,,,
2,50.0,0.0,,,
3,49.95,0.1,0.0,,
4,57.5,4.2,1.55,29.75,
5,27.25,18.75,13.15,31.9,69.9
