after_task,task_1,task_2,task_3,task_4,task_5
1,91.5,,,,
2,19.9,77.45,,,
3,17.5,0.1,76.15,,
4,26.9,0.05,0.0,85.0,
5,0.8,2.25,7.95,29.8,85.65
