after_task,task_1,task_2,task_3,task_4,task_5
1,90.55,,,,
2,90.25,0.3,,,
3,90.95,8.55,2.15,,
4,90.35,25.55,15.55,49.65,
5,84.25,32.7,29.2,63.7,23.15
