after_task,task_1,task_2,task_3,task_4,task_5
1,86.2,,,,
2,83.7,0.0,,,
3,68.0,0.0,1.55,,
4,11.4,0.0,0.0,52.55,
5,0.0,0.0,0.0,0.0,76.55
