method,accuracy_mean,accuracy_std,forgetting_mean,forgetting_std
FedAvg-FCL,16.423333333333332,1.0408329997330663,68.74583333333334,2.8448784391135855
Replay,19.33,4.71869685400535,65.54583333333333,2.794982483546784
LwF,19.89,1.8360827868045606,43.65833333333333,5.930223611579358
Replay+LwF,46.33,4.075303669666838,5.229166666666667,0.5599014050110371
Gradient-Balanced,44.196666666666665,3.4688086331380887,1.8458333333333339,0.16878857583774176
