after_task,task_1,task_2,task_3,task_4,task_5
1,68.25,,,,
2,41.65,36.0,,,
3,0.0,0.0,59.6,,
4,0.0,0.0,0.0,73.3,
5,0.0,0.0,0.0,0.0,67.6
