after_task,task_1,task_2,task_3,task_4,task_5
1,90.55,,,,
2,85.65,15.55,,,
3,77.75,23.15,23.45,,
4,15.3,5.3,5.05,84.7,
5,0.4,0.4,0.0,28.85,78.2
