after_task,task_1,task_2,task_3,task_4,task_5
1,92.1,,,,
2,92.25,0.0,,,
3,91.45,1.75,31.9,,
4,88.85,7.05,46.75,64.45,
5,83.95,18.5,56.75,69.2,16.45
