epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.3084666971588135,53.37,1.0327631448745727,63.76
2,0.923504121170044,67.56,0.9358488657951355,67.49
3,0.7680350706481933,73.086,0.8647849152565003,70.57
4,0.6531752416992187,77.086,0.835056566619873,71.9
5,0.5548080409049988,80.588,0.8334807676315308,72.42
