after_task,task_1,task_2,task_3,task_4,task_5
1,80.8,,,,
2,0.0,60.8,,,
3,0.0,0.0,51.5,,
4,0.0,0.0,0.0,79.3,
5,0.0,0.0,0.0,0.0,58.0
