after_task,task_1,task_2,task_3,task_4,task_5
1,90.5,,,,
2,86.75,6.2,,,
3,57.55,0.35,44.75,,
4,6.75,0.0,11.15,72.2,
5,0.25,0.0,0.0,10.0,81.9
