after_task,task_1,task_2,task_3,task_4,task_5
1,86.4,,,,
2,0.0,63.35,,,
3,0.0,0.0,71.2,,
4,0.0,0.0,0.0,79.9,
5,0.0,0.0,0.0,0.0,61.55
