after_task,task_1,task_2,task_3,task_4,task_5
1,85.35,,,,
2,85.3,0.0,,,
3,85.15,0.0,8.0,,
4,86.1,3.75,27.35,54.45,
5,78.05,16.9,35.1,70.8,28.0
