after_task,task_1,task_2,task_3,task_4,task_5
1,90.55,,,,
2,67.6,65.05,,,
3,67.2,0.25,75.4,,
4,18.5,0.05,0.0,84.9,
5,0.0,2.8,38.85,0.7,76.25
