after_task,task_1,task_2,task_3,task_4,task_5
1,92.1,,,,
2,92.65,1.7,,,
3,89.1,9.1,48.45,,
4,85.2,13.45,50.2,71.6,
5,77.9,15.45,59.5,70.75,27.0
