seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
1001,0.5,1,1,0,0,38,0.0,0.0,0
1001,0.5,1,1,1,0,74,0.0,0.0,0
1001,0.5,1,1,2,0,12,0.0,0.0,0
1001,0.5,1,1,3,0,1,0.0,0.0,0
1001,0.5,1,1,4,0,32,0.0,0.0,0
1001,0.5,1,2,0,0,38,0.0,0.0,0
1001,0.5,1,2,1,0,74,0.0,0.0,0
1001,0.5,1,2,2,0,12,0.0,0.0,0
1001,0.5,1,2,3,0,1,0.0,0.0,0
1001,0.5,1,2,4,0,32,0.0,0.0,0
1001,0.5,1,3,0,0,38,0.0,0.0,0
1001,0.5,1,3,1,0,74,0.0,0.0,0
1001,0.5,1,3,2,0,12,0.0,0.0,0
1001,0.5,1,3,3,0,1,0.0,0.0,0
1001,0.5,1,3,4,0,32,0.0,0.0,0
1001,0.5,2,1,0,36,36,100.0,-11.124267048305935,500
1001,0.5,2,1,1,16,16,100.0,-15.733932733535767,500
1001,0.5,2,1,2,81,82,98.78048780487805,-6.715269784374935,500
1001,0.5,2,1,3,15,15,100.0,-15.85128574371338,59
1001,0.5,2,1,4,10,10,100.0,-17.20105333328247,500
1001,0.5,2,2,0,36,36,100.0,-53.940082444085014,500
1001,0.5,2,2,1,16,16,100.0,-43.89518141746521,500
1001,0.5,2,2,2,82,82,100.0,-51.32668830127251,500
1001,0.5,2,2,3,15,15,100.0,-54.34159901936849,59
1001,0.5,2,2,4,10,10,100.0,-41.10702629089356,500
1001,0.5,2,3,0,36,36,100.0,-60.762377209133575,500
1001,0.5,2,3,1,16,16,100.0,-63.805538177490234,500
1001,0.5,2,3,2,82,82,100.0,-68.93617536963487,500
1001,0.5,2,3,3,15,15,100.0,-68.28635101318359,59
1001,0.5,2,3,4,10,10,100.0,-64.97756614685059,500
1001,0.5,3,1,0,5,38,13.157894736842104,1.3908982386714535,500
1001,0.5,3,1,1,0,23,0.0,2.152266183625097,500
1001,0.5,3,1,2,0,5,0.0,5.4624120712280275,500
1001,0.5,3,1,3,35,65,53.84615384615385,0.9232400421912853,500
1001,0.5,3,1,4,0,28,0.0,2.524130946823529,500
1001,0.5,3,2,0,38,38,100.0,-20.888943069859554,500
1001,0.5,3,2,1,23,23,100.0,-22.608778248662535,500
1001,0.5,3,2,2,5,5,100.0,-27.608924865722656,500
1001,0.5,3,2,3,65,65,100.0,-38.40388503441444,500
1001,0.5,3,2,4,28,28,100.0,-42.949081012180876,500
1001,0.5,3,3,0,38,38,100.0,-32.46551639155338,500
1001,0.5,3,3,1,23,23,100.0,-36.438756279323414,500
1001,0.5,3,3,2,5,5,100.0,-46.41281585693359,500
1001,0.5,3,3,3,65,65,100.0,-41.27465297992413,500
1001,0.5,3,3,4,28,28,100.0,-43.269905294690815,500
1001,0.5,4,1,0,0,6,0.0,2.1375017563501992,500
1001,0.5,4,1,1,1,11,9.090909090909092,1.3882881836457686,500
1001,0.5,4,1,2,65,69,94.20289855072464,-0.6797335925309554,500
1001,0.5,4,1,3,21,32,65.625,0.17908045230433345,500
1001,0.5,4,1,4,29,40,72.5,0.1636635597795248,500
1001,0.5,4,2,0,6,6,100.0,-38.13232231140137,500
1001,0.5,4,2,1,11,11,100.0,-37.4445651661266,500
1001,0.5,4,2,2,69,69,100.0,-26.31440882751907,500
1001,0.5,4,2,3,32,32,100.0,-25.993382930755615,500
1001,0.5,4,2,4,40,40,100.0,-21.904228019714356,500
1001,0.5,4,3,0,6,6,100.0,-34.77475516001383,500
1001,0.5,4,3,1,11,11,100.0,-36.861797852949664,500
1001,0.5,4,3,2,69,69,100.0,-49.11909299656965,500
1001,0.5,4,3,3,32,32,100.0,-24.45657616853714,500
1001,0.5,4,3,4,40,40,100.0,-19.417952036857606,500
1001,0.5,5,1,0,0,5,0.0,25.257446670532225,500
1001,0.5,5,1,1,0,10,0.0,15.659282350540161,500
1001,0.5,5,1,2,7,52,13.461538461538462,2.4280583741000066,500
1001,0.5,5,1,3,27,64,42.1875,2.5500962848309427,500
1001,0.5,5,1,4,11,28,39.285714285714285,3.7972601311547414,500
1001,0.5,5,2,0,5,5,100.0,-54.88307876586914,500
1001,0.5,5,2,1,10,10,100.0,-47.62493476867676,500
1001,0.5,5,2,2,52,52,100.0,-43.80025926003089,500
1001,0.5,5,2,3,64,64,100.0,-24.89244183897972,500
1001,0.5,5,2,4,28,28,100.0,-52.53558588027954,500
1001,0.5,5,3,0,5,5,100.0,-51.25094985961914,500
1001,0.5,5,3,1,10,10,100.0,-44.576428985595705,500
1001,0.5,5,3,2,52,52,100.0,-47.251916481898384,500
1001,0.5,5,3,3,64,64,100.0,-25.341417372226715,500
1001,0.5,5,3,4,28,28,100.0,-55.208015714372905,500
