after_task,task_1,task_2,task_3,task_4,task_5
1,90.5,,,,
2,0.0,73.95,,,
3,0.0,0.0,78.9,,
4,0.0,0.0,0.0,89.15,
5,0.0,0.0,0.0,0.0,84.7
