group,mean,std,minimum,maximum
Overall,1.2963,0.0951,1.0619,1.4903
Task 2,1.3892,0.0701,1.2384,1.4903
Task 3,1.2129,0.0807,1.0619,1.4456
Task 4,1.2528,0.0571,1.124,1.3461
Task 5,1.3302,0.0548,1.2166,1.4155
Round 1,1.3594,0.0729,,
Round 2,1.2735,0.0863,,
Round 3,1.256,0.0916,,
