after_task,task_1,task_2,task_3,task_4,task_5
1,90.25,,,,
2,90.5,6.05,,,
3,90.25,22.55,15.75,,
4,86.25,35.55,30.85,49.6,
5,69.9,35.6,34.4,53.0,48.55
