after_task,task_1,task_2,task_3,task_4,task_5
1,86.2,,,,
2,74.95,0.15,,,
3,0.0,0.0,50.0,,
4,11.6,0.0,0.0,69.45,
5,0.0,0.0,0.0,0.0,63.2
