seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
42,0.5,1,1,0,0,27,0.0,0.0,0
42,0.5,1,1,1,0,13,0.0,0.0,0
42,0.5,1,1,2,0,3,0.0,0.0,0
42,0.5,1,1,3,0,36,0.0,0.0,0
42,0.5,1,1,4,0,79,0.0,0.0,0
42,0.5,1,2,0,0,27,0.0,0.0,0
42,0.5,1,2,1,0,13,0.0,0.0,0
42,0.5,1,2,2,0,3,0.0,0.0,0
42,0.5,1,2,3,0,36,0.0,0.0,0
42,0.5,1,2,4,0,79,0.0,0.0,0
42,0.5,1,3,0,0,27,0.0,0.0,0
42,0.5,1,3,1,0,13,0.0,0.0,0
42,0.5,1,3,2,0,3,0.0,0.0,0
42,0.5,1,3,3,0,36,0.0,0.0,0
42,0.5,1,3,4,0,79,0.0,0.0,0
42,0.5,2,1,0,7,7,100.0,-18.088218144008092,500
42,0.5,2,1,1,63,66,95.45454545454545,-5.742192987239722,500
42,0.5,2,1,2,9,9,100.0,-16.004754702250164,173
42,0.5,2,1,3,39,39,100.0,-9.365597850237137,500
42,0.5,2,1,4,38,38,100.0,-10.042624661796971,500
42,0.5,2,2,0,7,7,100.0,-40.377689361572266,500
42,0.5,2,2,1,66,66,100.0,-19.43660526564627,500
42,0.5,2,2,2,9,9,100.0,-38.62589984469943,173
42,0.5,2,2,3,39,39,100.0,-18.491739480923382,500
42,0.5,2,2,4,38,38,100.0,-20.147057508167467,500
42,0.5,2,3,0,7,7,100.0,-70.10174778529576,500
42,0.5,2,3,1,66,66,100.0,-29.944293903582025,500
42,0.5,2,3,2,9,9,100.0,-59.1602291531033,173
42,0.5,2,3,3,39,39,100.0,-40.9625681852683,500
42,0.5,2,3,4,38,38,100.0,-44.735446177030866,500
42,0.5,3,1,0,61,61,100.0,-1.6729735912846737,500
42,0.5,3,1,1,26,26,100.0,-4.403121269666231,500
42,0.5,3,1,2,31,31,100.0,-4.596316654835978,500
42,0.5,3,1,3,31,31,100.0,-4.541906770198576,500
42,0.5,3,1,4,10,10,100.0,-8.985899877548217,500
42,0.5,3,2,0,61,61,100.0,-36.05262818883677,500
42,0.5,3,2,1,26,26,100.0,-53.327421335073616,500
42,0.5,3,2,2,31,31,100.0,-53.788744341942575,500
42,0.5,3,2,3,31,31,100.0,-60.61371095718876,500
42,0.5,3,2,4,10,10,100.0,-70.51754684448242,500
42,0.5,3,3,0,61,61,100.0,-51.55584654260854,500
42,0.5,3,3,1,26,26,100.0,-65.36694688063402,500
42,0.5,3,3,2,31,31,100.0,-38.69813931372858,500
42,0.5,3,3,3,31,31,100.0,-63.810390349357355,500
42,0.5,3,3,4,10,10,100.0,-56.79283828735352,500
42,0.5,4,1,0,1,36,2.7777777777777777,8.714940213494831,500
42,0.5,4,1,1,8,46,17.391304347826086,6.717008244732152,500
42,0.5,4,1,2,0,12,0.0,21.623740037282307,500
42,0.5,4,1,3,0,20,0.0,14.56269392967224,500
42,0.5,4,1,4,0,44,0.0,6.86846961081028,500
42,0.5,4,2,0,36,36,100.0,-46.6728302637736,500
42,0.5,4,2,1,46,46,100.0,-51.509167795595914,500
42,0.5,4,2,2,12,12,100.0,-45.011566480000816,500
42,0.5,4,2,3,20,20,100.0,-51.58623161315918,500
42,0.5,4,2,4,44,44,100.0,-48.27787555347789,500
42,0.5,4,3,0,36,36,100.0,-52.90060573154025,500
42,0.5,4,3,1,46,46,100.0,-55.248938767806344,500
42,0.5,4,3,2,12,12,100.0,-53.615279833475746,500
42,0.5,4,3,3,20,20,100.0,-55.5949312210083,500
42,0.5,4,3,4,44,44,100.0,-49.274240320379086,500
42,0.5,5,1,0,15,39,38.46153846153846,6.195443196174426,500
42,0.5,5,1,1,0,15,0.0,19.06596711476644,500
42,0.5,5,1,2,0,9,0.0,26.312340418497723,500
42,0.5,5,1,3,3,16,18.75,9.184805512428284,500
42,0.5,5,1,4,61,81,75.30864197530865,1.7187867723865273,500
42,0.5,5,2,0,39,39,100.0,-36.57360575749324,500
42,0.5,5,2,1,15,15,100.0,-39.075052642822264,500
42,0.5,5,2,2,9,9,100.0,-39.59379323323568,500
42,0.5,5,2,3,16,16,100.0,-32.74062752723694,500
42,0.5,5,2,4,81,81,100.0,-31.740385126184535,500
42,0.5,5,3,0,39,39,100.0,-38.10825675573104,500
42,0.5,5,3,1,15,15,100.0,-43.07417348225911,500
42,0.5,5,3,2,9,9,100.0,-44.673732333713104,500
42,0.5,5,3,3,16,16,100.0,-25.885682702064514,500
42,0.5,5,3,4,81,81,100.0,-38.695633405520596,500
