after_task,task_1,task_2,task_3,task_4,task_5
1,90.25,,,,
2,90.7,0.0,,,
3,90.8,5.25,3.85,,
4,89.8,22.45,22.15,25.45,
5,84.9,31.1,37.5,49.2,19.6
