metric,fixed_mean,gradient_balanced_mean,paired_difference,ci_lower,ci_upper,cohens_dz,exact_p
Final Average Accuracy,46.94,44.76,-2.18,-3.78,-0.58,-1.692,0.0625
Average Forgetting,4.76,1.77,-3.0,-4.05,-1.94,-3.538,0.0625
