after_task,task_1,task_2,task_3,task_4,task_5
1,87.5,,,,
2,88.15,5.8,,,
3,87.8,20.95,17.4,,
4,85.1,33.9,35.8,32.85,
5,75.25,29.9,40.7,55.9,26.25
